Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
22/12/2024,17:30,Leganes,Villarreal,2,5,A,2,2,D,5,18,3,9,1,5,17,15,1,2,2,0
22/12/2024,20:00,Betis,Vallecano,1,1,D,1,0,H,14,10,5,4,5,5,9,14,0,4,0,0
03/01/2025,20:00,Valencia,Real Madrid,1,2,A,1,0,H,8,17,5,5,2,5,16,9,2,3,0,1
10/01/2025,20:00,Vallecano,Celta,2,1,H,1,1,D,8,23,5,7,3,3,18,9,2,3,0,1
11/01/2025,13:00,Alaves,Girona,0,1,A,0,0,D,11,3,2,1,6,3,16,11,1,4,0,0
11/01/2025,15:15,Valladolid,Betis,1,0,H,0,0,D,12,14,1,3,1,8,21,10,2,4,0,0
11/01/2025,17:30,Espanol,Leganes,1,1,D,1,1,D,15,14,5,6,8,4,15,19,2,2,0,1
11/01/2025,20:00,Sevilla,Valencia,1,1,D,0,0,D,15,5,5,1,10,1,16,8,1,2,0,0
12/01/2025,13:00,Las Palmas,Getafe,1,2,A,0,0,D,15,12,7,3,4,5,14,17,2,3,0,0
12/01/2025,15:15,Ath Madrid,Osasuna,1,0,H,0,0,D,9,6,5,1,4,0,8,14,2,0,0,0
13/01/2025,20:00,Sociedad,Villarreal,1,0,H,0,0,D,6,15,3,5,3,7,17,6,4,2,0,0
17/01/2025,20:00,Espanol,Valladolid,2,1,H,1,0,H,12,11,4,4,1,7,13,16,2,2,0,0
18/01/2025,13:00,Girona,Sevilla,1,2,A,1,0,H,7,14,4,6,7,4,6,15,0,4,0,0
18/01/2025,15:15,Leganes,Ath Madrid,1,0,H,0,0,D,9,19,3,4,2,9,16,6,1,3,0,0
18/01/2025,17:30,Betis,Alaves,1,3,A,1,1,D,7,9,2,5,2,3,12,24,4,5,1,0
18/01/2025,20:00,Getafe,Barcelona,1,1,D,1,1,D,10,21,4,5,2,10,9,9,3,2,0,0
19/01/2025,13:00,Celta,Ath Bilbao,1,2,A,0,0,D,3,14,1,6,3,4,14,6,0,0,0,0
19/01/2025,15:15,Real Madrid,Las Palmas,4,1,H,3,1,H,26,6,13,2,8,2,11,13,0,1,0,1
19/01/2025,17:30,Osasuna,Vallecano,1,1,D,0,1,A,12,8,3,3,6,3,9,13,3,2,0,0
19/01/2025,20:00,Valencia,Sociedad,1,0,H,1,0,H,7,9,2,3,4,7,10,12,3,4,0,0
20/01/2025,20:00,Villarreal,Mallorca,4,0,H,4,0,H,14,9,7,2,6,5,9,12,1,3,0,0
24/01/2025,20:00,Las Palmas,Osasuna,1,1,D,0,0,D,16,16,7,4,4,2,14,17,7,8,1,0
25/01/2025,13:00,Mallorca,Betis,0,1,A,0,0,D,16,8,3,3,4,4,12,18,2,2,1,0
25/01/2025,15:15,Ath Madrid,Villarreal,1,1,D,0,1,A,20,11,8,1,5,6,10,14,4,2,0,0
25/01/2025,17:30,Sevilla,Espanol,1,1,D,0,1,A,25,6,4,1,5,1,13,14,1,4,0,0
25/01/2025,20:00,Valladolid,Real Madrid,0,3,A,0,1,A,6,20,2,4,1,7,11,12,3,3,1,0
26/01/2025,13:00,Vallecano,Girona,2,1,H,0,0,D,17,12,7,5,4,1,19,9,3,1,0,0
26/01/2025,15:15,Sociedad,Getafe,0,3,A,0,0,D,13,13,4,4,5,2,11,15,3,6,0,0
26/01/2025,17:30,Ath Bilbao,Leganes,0,0,D,0,0,D,29,5,3,2,16,1,10,8,1,1,0,0
26/01/2025,20:00,Barcelona,Valencia,7,1,H,5,0,H,22,7,11,2,14,4,10,12,0,1,0,0
27/01/2025,20:00,Alaves,Celta,1,1,D,1,0,H,3,5,1,2,3,4,15,14,2,3,0,0
31/01/2025,20:00,Leganes,Vallecano,0,1,A,0,0,D,5,19,1,3,2,9,7,19,2,4,1,0
01/02/2025,13:00,Getafe,Sevilla,0,0,D,0,0,D,7,13,1,1,6,5,15,12,4,6,0,0
01/02/2025,15:15,Villarreal,Valladolid,5,1,H,1,0,H,22,8,8,2,3,6,9,14,1,2,0,0
01/02/2025,17:30,Ath Madrid,Mallorca,2,0,H,1,0,H,17,10,5,1,10,4,9,14,2,3,0,0
01/02/2025,20:00,Espanol,Real Madrid,1,0,H,0,0,D,5,21,2,7,1,8,14,3,2,0,0,0
02/02/2025,13:00,Barcelona,Alaves,1,0,H,0,0,D,11,3,4,0,5,2,8,20,5,2,0,0
02/02/2025,15:15,Valencia,Celta,2,1,H,1,0,H,8,3,5,2,5,2,9,17,1,2,0,0
02/02/2025,17:30,Osasuna,Sociedad,2,1,H,1,0,H,11,13,4,3,3,5,10,8,3,3,0,0
02/02/2025,20:00,Betis,Ath Bilbao,2,2,D,2,1,H,10,12,6,4,3,7,10,20,3,1,0,0
03/02/2025,20:00,Girona,Las Palmas,2,1,H,1,0,H,12,10,4,2,11,3,12,12,2,2,0,0
07/02/2025,20:00,Vallecano,Valladolid,1,0,H,0,0,D,20,8,6,3,4,2,11,15,2,2,0,0
08/02/2025,13:00,Celta,Betis,3,2,H,0,2,A,14,12,6,5,4,7,11,11,3,5,0,0
08/02/2025,15:15,Ath Bilbao,Girona,3,0,H,2,0,H,23,3,8,1,11,2,7,12,0,4,0,0
08/02/2025,17:30,Las Palmas,Villarreal,1,2,A,0,0,D,20,9,4,4,6,5,12,12,6,3,0,0
08/02/2025,20:00,Real Madrid,Ath Madrid,1,1,D,0,1,A,23,10,9,1,6,1,14,13,1,3,0,0
09/02/2025,13:00,Alaves,Getafe,0,1,A,0,1,A,12,4,4,3,8,3,16,16,2,6,0,0
09/02/2025,15:15,Valencia,Leganes,2,0,H,2,0,H,18,12,4,4,9,3,14,9,1,1,0,0
09/02/2025,17:30,Sociedad,Espanol,2,1,H,1,0,H,13,4,3,1,6,0,11,17,1,2,0,0
09/02/2025,20:00,Sevilla,Barcelona,1,4,A,1,1,D,8,10,4,6,5,6,14,6,5,2,0,1
10/02/2025,20:00,Mallorca,Osasuna,1,1,D,0,0,D,10,19,2,4,7,11,7,11,1,4,0,0
14/02/2025,20:00,Girona,Getafe,1,2,A,0,1,A,14,10,4,6,3,3,11,23,2,3,1,0
