Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
07/03/2025,19:45,Toulouse,Monaco,1,1,D,0,1,A,8,13,3,3,3,5,16,17,1,3,0,0
08/03/2025,16:00,Rennes,Paris SG,1,4,A,0,1,A,13,19,3,9,3,2,11,6,2,3,0,0
08/03/2025,18:00,Lille,Montpellier,1,0,H,0,0,D,18,10,8,3,7,1,11,12,2,3,0,0
08/03/2025,20:05,Marseille,Lens,0,1,A,0,0,D,15,3,6,2,7,0,15,12,3,1,0,0
09/03/2025,14:00,Brest,Angers,2,0,H,1,0,H,19,7,7,1,6,6,14,8,1,1,0,0
09/03/2025,16:15,Le Havre,St Etienne,1,1,D,1,1,D,13,12,7,3,5,6,9,17,2,3,0,0
09/03/2025,16:15,Nantes,Strasbourg,0,1,A,0,0,D,11,9,2,1,3,9,12,17,1,1,0,0
09/03/2025,16:15,Reims,Auxerre,0,2,A,0,2,A,18,13,4,9,6,12,9,13,1,1,0,0
09/03/2025,19:45,Nice,Lyon,0,2,A,0,0,D,18,8,4,5,9,2,12,11,1,2,0,0
14/03/2025,19:45,Nice,Auxerre,1,1,D,1,0,H,20,10,6,4,7,3,14,18,1,3,1,0
15/03/2025,16:00,Nantes,Lille,1,0,H,0,0,D,10,13,3,4,3,5,9,15,2,3,1,0
15/03/2025,18:00,Angers,Monaco,0,2,A,0,0,D,6,16,2,5,0,9,12,11,1,2,0,0
15/03/2025,20:05,Lens,Rennes,1,0,H,0,0,D,9,12,4,5,5,4,17,14,1,1,0,0
16/03/2025,14:00,Lyon,Le Havre,4,2,H,1,2,A,16,14,7,5,4,1,20,12,2,3,0,0
16/03/2025,16:15,Brest,Reims,0,0,D,0,0,D,11,12,0,2,4,4,9,13,1,3,1,0
16/03/2025,16:15,Montpellier,St Etienne,0,2,A,0,1,A,13,11,3,6,4,6,4,7,1,3,0,1
16/03/2025,16:15,Strasbourg,Toulouse,2,1,H,0,1,A,10,11,3,7,4,3,10,14,0,2,0,0
16/03/2025,19:45,Paris SG,Marseille,3,1,H,2,0,H,16,11,5,2,5,5,7,9,1,0,0,0
28/03/2025,19:45,Strasbourg,Lyon,4,2,H,0,0,D,14,16,7,11,6,5,12,15,2,2,0,0
29/03/2025,16:00,Reims,Marseille,3,1,H,1,0,H,7,20,5,8,0,12,6,9,0,0,0,0
