Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
D1,18/12/2018,M'gladbach,Nurnberg,2,0,H,0,0,D,17,7,7,2,6,7,5,19,2,3,0,0
D1,18/12/2018,Wolfsburg,Stuttgart,2,0,H,2,0,H,16,11,5,1,4,8,10,17,1,2,0,0
D1,19/12/2018,Bayern Munich,RB Leipzig,1,0,H,0,0,D,10,8,4,2,5,5,9,20,2,2,1,1
D1,19/12/2018,Freiburg,Hannover,1,1,D,1,1,D,14,18,7,3,5,2,13,14,0,2,0,0
D1,19/12/2018,Mainz,Ein Frankfurt,2,2,D,2,2,D,17,12,6,4,3,2,13,15,3,3,0,0
D1,19/12/2018,Schalke 04,Leverkusen,1,2,A,1,2,A,18,8,4,5,7,1,14,19,4,4,0,0
D1,19/12/2018,Werder Bremen,Hoffenheim,1,1,D,0,1,A,26,14,5,4,6,3,7,13,0,1,0,0
D1,21/12/2018,Dortmund,M'gladbach,2,1,H,1,1,D,12,3,4,2,4,2,5,12,0,1,0,0
D1,22/12/2018,Ein Frankfurt,Bayern Munich,0,3,A,0,1,A,10,9,3,7,3,4,9,4,2,1,0,0
D1,22/12/2018,Hannover,Fortuna Dusseldorf,0,1,A,0,0,D,17,13,3,6,4,6,14,19,2,3,0,0
D1,22/12/2018,Leverkusen,Hertha,3,1,H,2,1,H,15,13,7,8,4,5,3,12,0,1,0,0
D1,22/12/2018,Nurnberg,Freiburg,0,1,A,0,1,A,16,7,3,3,12,3,16,16,2,3,0,0
D1,22/12/2018,RB Leipzig,Werder Bremen,3,2,H,2,0,H,11,15,5,6,4,4,15,9,2,0,0,0
D1,22/12/2018,Stuttgart,Schalke 04,1,3,A,0,1,A,17,15,5,6,2,5,9,17,3,5,0,0
D1,23/12/2018,Augsburg,Wolfsburg,2,3,A,0,2,A,10,16,4,5,3,4,12,11,2,3,0,0
D1,23/12/2018,Hoffenheim,Mainz,1,1,D,1,1,D,28,12,7,5,9,2,11,10,1,0,0,0
D1,18/01/2019,Hoffenheim,Bayern Munich,1,3,A,0,2,A,13,21,5,9,2,6,13,9,3,2,0,0
D1,19/01/2019,Augsburg,Fortuna Dusseldorf,1,2,A,0,1,A,13,11,6,3,5,3,13,9,3,1,0,0
D1,19/01/2019,Ein Frankfurt,Freiburg,3,1,H,3,0,H,9,21,4,7,5,5,13,8,2,1,0,0
D1,19/01/2019,Hannover,Werder Bremen,0,1,A,0,1,A,10,23,1,13,7,8,17,19,3,1,0,0
D1,19/01/2019,Leverkusen,M'gladbach,0,1,A,0,1,A,22,7,10,3,10,3,9,14,1,2,0,0
D1,19/01/2019,RB Leipzig,Dortmund,0,1,A,0,1,A,12,8,5,4,6,7,12,9,3,2,0,0
D1,19/01/2019,Stuttgart,Mainz,2,3,A,0,2,A,28,14,8,4,13,8,9,16,2,2,0,0
D1,20/01/2019,Nurnberg,Hertha,1,3,A,1,1,D,14,16,3,8,4,4,13,9,2,1,0,0
D1,20/01/2019,Schalke 04,Wolfsburg,2,1,H,1,1,D,20,12,5,5,4,6,11,5,1,0,0,0
